Squad;Competition;Takles Z1;Takles Z2;Takles Z3;Pressure Z1;Pressure Z2;Pressure Z3;Touches Z1;Touches Z2;Touches Z3;Takles Z1 /90;Takles Z2 /90;Takles Z3 /90;Pressure Z1 /90;Pressure Z2 /90;Pressure Z3 /90;Touches Z1 /90;Touches Z2 /90;Touches Z3 /90
Alavés;La Liga;50.58;39.6;9.83;32.12;45.37;22.51;35.27;48.3;21.31;7.95;6.23;1.55;45.41;64.14;31.82;169.5;232.09;102.41
Athletic Club;La Liga;44.82;42.81;12.37;30.28;43.47;26.25;28.91;51.36;25.94;6.38;6.1;1.76;38.62;55.43;33.48;163.52;290.52;146.76
Atlético Madrid;La Liga;46.2;40.0;13.8;31.91;45.45;22.64;29.17;51.87;24.1;8.2;7.1;2.45;39.95;56.9;28.35;191.55;340.6;158.25
Barcelona;La Liga;46.58;40.07;13.36;28.82;45.12;26.06;25.25;48.66;32.6;6.48;5.57;1.86;33.86;53.0;30.62;207.9;400.62;268.43
Betis;La Liga;45.64;41.28;13.08;28.94;48.74;22.32;29.63;50.49;25.43;7.14;6.45;2.05;36.95;62.23;28.5;189.32;322.64;162.5
Cádiz;La Liga;53.13;36.51;10.35;37.98;44.65;17.37;35.1;46.75;23.25;8.86;6.09;1.73;51.77;60.86;23.68;149.18;198.73;98.82
Celta Vigo;La Liga;45.71;45.19;9.09;31.98;49.56;18.46;35.82;49.71;20.13;8.0;7.91;1.59;47.86;74.18;27.64;224.0;310.91;125.91
Eibar;La Liga;42.44;44.19;13.37;26.36;44.34;29.29;28.02;48.36;28.47;6.64;6.91;2.09;34.32;57.73;38.14;146.95;253.68;149.32
Elche;La Liga;62.23;33.44;4.33;42.53;42.81;14.67;43.66;47.96;14.15;10.05;5.4;0.7;53.2;53.55;18.35;253.9;278.9;82.3
Getafe;La Liga;43.43;45.57;11.01;27.03;50.54;22.43;27.36;47.08;30.47;6.76;7.1;1.71;39.14;73.19;32.48;134.95;232.19;150.29
Granada;La Liga;49.69;39.2;11.11;32.56;45.95;21.49;36.33;46.2;22.76;7.32;5.77;1.64;39.45;55.68;26.05;164.77;209.55;103.23
Huesca;La Liga;52.06;39.18;8.76;34.84;46.29;18.86;38.32;47.4;21.27;9.18;6.91;1.55;49.36;65.59;26.73;221.36;273.86;122.91
Levante;La Liga;49.39;40.8;9.82;32.07;43.89;24.04;34.62;46.13;25.24;7.67;6.33;1.52;40.71;55.71;30.52;202.95;270.43;147.95
Osasuna;La Liga;42.73;45.15;12.12;29.16;47.22;23.61;32.35;47.83;24.28;6.41;6.77;1.82;37.73;61.09;30.55;158.09;233.77;118.68
Real Madrid;La Liga;46.67;40.0;13.33;31.44;44.36;24.2;29.43;48.58;28.48;7.67;6.57;2.19;38.48;54.29;29.62;217.33;358.81;210.33
Real Sociedad;La Liga;44.21;41.46;14.33;26.77;46.68;26.55;28.91;50.42;26.89;6.59;6.18;2.14;33.86;59.05;33.59;175.55;306.18;163.32
Sevilla;La Liga;43.37;41.75;14.89;27.66;47.91;24.43;31.53;49.1;24.57;6.38;6.14;2.19;32.19;55.76;28.43;223.33;347.86;174.1
Valencia;La Liga;48.89;39.05;12.06;35.9;43.1;21.0;35.93;46.67;23.71;7.0;5.59;1.73;44.91;53.91;26.27;191.59;248.82;126.41
Valladolid;La Liga;52.32;36.78;10.9;33.0;45.97;21.03;34.06;47.4;24.04;8.73;6.14;1.82;48.77;67.95;31.09;172.27;239.77;121.59
Villarreal;La Liga;40.67;44.95;14.37;29.18;46.14;24.68;32.64;50.9;23.05;6.05;6.68;2.14;36.77;58.14;31.09;220.14;343.27;155.45
Arsenal;Premier League;47.23;41.04;11.73;33.02;41.11;25.86;34.11;47.33;25.23;6.3;5.48;1.57;38.7;48.17;30.3;224.22;311.13;165.87
Aston Villa;Premier League;47.42;39.03;13.55;33.42;42.99;23.58;32.33;42.63;30.79;7.0;5.76;2.0;40.76;52.43;28.76;178.29;235.05;169.81
Brighton;Premier League;51.99;36.57;11.44;35.51;41.86;22.63;36.05;43.21;27.38;9.09;6.39;2.0;44.48;52.43;28.35;217.43;260.61;165.17
Burnley;Premier League;49.85;36.28;13.86;31.08;46.05;22.87;33.75;47.21;24.14;7.68;5.59;2.14;35.59;52.73;26.18;166.68;233.14;119.23
Chelsea;Premier League;47.64;41.69;10.67;32.09;43.87;24.04;30.8;48.89;26.52;8.35;7.3;1.87;42.43;58.0;31.78;240.7;382.0;207.22
Crystal Palace;Premier League;56.39;32.58;11.03;40.72;41.16;18.12;34.67;46.97;24.69;9.78;5.65;1.91;56.96;57.57;25.35;183.87;249.13;130.96
